time,inc0_low95CI,inc0_median,inc0_up95CI,inc1_low95CI,inc1_median,inc1_up95CI,inc2_low95CI,inc2_median,inc2_up95CI,inc3_low95CI,inc3_median,inc3_up95CI,nvacc_low95CI,nvacc_median,nvacc_up95CI,strategy,vaccswitch,coverage,vaccstart,duration
3477.0,505.4982877346687,529.9331215936691,553.0609323434531,510.21831894954664,535.3869096022099,563.3399992652237,509.7520508009009,533.6095480546355,563.00980867045,15812.83984604925,16624.389678269625,17521.758004072308,0.0,0.0,0.0,base,,,,
3478.0,502.41003982173277,526.2057182341814,550.6862999845296,507.20169807840136,532.1849672775716,559.3532949853688,507.15331530580295,530.3969577830285,559.2403039026074,15785.793262141942,16594.668592005968,17490.55966682881,0.0,0.0,0.0,base,,,,
3479.0,498.4598700886592,522.4873032383621,547.5142541421577,504.82356575271115,528.6433315947652,554.7937235185876,504.153677611053,527.4195675272495,555.431004300993,15749.724372190238,16551.390419781208,17420.048463255167,0.0,0.0,0.0,base,,,,
3480.0,494.4828277372755,518.4743138346821,544.1807896144687,500.8137632207014,525.4747752156109,551.881511183083,501.4021476471797,523.9059982895851,551.4048725875094,15721.293641224504,16520.173680633307,17356.98679264635,0.0,0.0,0.0,base,,,,
3481.0,489.7937380910851,514.0455858130008,539.8579944343306,496.23254353320226,521.563498178497,548.2765513154678,498.116224121023,520.5027345959097,547.2696654257364,15660.528522282839,16480.45478028059,17295.610931527615,0.0,0.0,0.0,base,,,,
3482.0,485.2065947859548,509.51167788915336,535.9864447900094,491.9090674502775,517.365650312975,545.5283037463203,493.75854194061833,516.1708026397973,542.9207818517461,15620.865444375575,16407.422168165445,17246.872419649364,0.0,0.0,0.0,base,,,,
3483.0,480.6452094670385,504.658453958109,531.8559249696322,487.60231034783646,512.7500432673842,542.0521755043417,488.7140436938964,512.0113629885018,538.8960124335251,15590.69410276562,16341.777759313583,17200.409329883754,0.0,0.0,0.0,base,,,,
3484.0,475.5273598299362,500.1403885502368,527.8671709879301,483.3701265732758,508.25758713670075,538.4367851994,484.02642325470225,507.7187537048012,534.7623951053247,15509.672073683143,16263.785209327936,17161.632267987727,0.0,0.0,0.0,base,,,,
3485.0,470.2619514667429,495.57456576265395,522.0651362373494,478.70749310012906,503.681332860142,534.2939132818951,478.17274211663755,503.44472081400454,530.939724272862,15431.67955351323,16189.269489943981,17091.752213720978,0.0,0.0,0.0,base,,,,
3486.0,464.40533263944087,490.36795748770237,518.8418401372619,473.0335303667001,498.7797478046268,529.5823447111062,472.4157243284397,498.756584065035,527.620946919173,15310.725960366428,16088.065790772438,17001.533618214726,0.0,0.0,0.0,base,,,,
3487.0,458.4301296152174,484.9696059823036,514.2945192895829,467.51658857697623,493.54204011149704,524.9829120812938,467.2019399306737,494.26010920107365,524.7171814499422,15198.201309969276,15995.282264232635,16917.758007220924,0.0,0.0,0.0,base,,,,
3488.0,452.38116196217015,479.6029583066702,509.3760909475386,461.5130183671601,488.51775627583265,519.6351322844624,461.6240285894834,489.5583158880472,520.7013440437615,15071.942939546705,15898.868816196918,16840.02005998343,0.0,0.0,0.0,base,,,,
3489.0,446.6240498200059,473.8067017160356,505.01584088942036,455.8037572091445,483.0842618755996,514.0140262785368,456.14403112977743,484.39525897428393,515.7811822240241,14931.061237746477,15779.617399841547,16751.788309381904,0.0,0.0,0.0,base,,,,
3490.0,440.97572703547775,468.0341899190098,498.9237802453339,449.77853909889234,477.6942633744329,508.65703201042487,450.1394075951539,478.8880995325744,510.5657711566426,14795.556112080812,15651.382266044617,16636.24736404866,0.0,0.0,0.0,base,,,,
3491.0,435.18080784901974,461.8738853018731,493.6886004937813,443.38695864025505,472.2703909650445,502.4028390141204,444.489376769308,473.5367964655161,505.13419071026146,14650.264741629362,15509.229019522667,16503.37581372559,0.0,0.0,0.0,base,,,,
3492.0,428.88267733938994,455.7723982259631,487.98340643048283,436.6609358629212,466.3366284351796,496.3390250923112,438.50779137350617,467.409598890692,498.85024318285286,14458.716538900137,15364.395705789328,16399.54947409481,0.0,0.0,0.0,base,,,,
3493.0,422.5511510358192,449.55793931521475,481.76681647095825,429.8684193946421,460.0480330083519,490.52295375643297,432.32621213542296,461.31673666089773,492.71821347344667,14283.931732137502,15204.869459241629,16277.085236269235,0.0,0.0,0.0,base,,,,
3494.0,416.21691190302374,443.1930604558438,475.3739957220852,423.1026616755873,453.69383223727345,484.41821211548523,426.03481139661744,454.9325383398682,486.8499594106339,14109.565023811161,15031.013984292746,16132.984520804883,0.0,0.0,0.0,base,,,,
3495.0,409.6310996430926,436.545460999012,468.979365670681,416.10803918335586,447.16907569393516,478.62315793856976,419.68796553788707,448.42525168694556,480.71634267643094,13932.414843592047,14859.578166484833,15985.54984577447,0.0,0.0,0.0,base,,,,
3496.0,402.69055539462715,429.83800798654556,462.7283636947162,408.74067098181695,440.15004689991474,472.50428986446934,413.1093919809908,441.62738066725433,474.6373522842303,13741.258244453371,14682.052927047014,15825.535235990583,0.0,0.0,0.0,base,,,,
3497.0,395.7372907411307,422.9883939791471,455.8433770733885,401.68817499643194,433.2695383615792,465.9344640560448,406.0702623871155,434.99486202932894,468.05042779603974,13543.746183124185,14506.413831025362,15627.306039847434,0.0,0.0,0.0,base,,,,
3498.0,388.4906132101081,415.7388307508081,448.7095602392219,394.7421846205369,426.26384180784225,458.6030651223846,398.9740993505344,427.8891956433654,460.97209033425895,13323.271681313217,14312.12003004551,15410.069188660382,0.0,0.0,0.0,base,,,,
3499.0,381.38100789785386,408.36344274133444,441.27375819152223,387.62812705980616,418.86549505218863,451.3262641902082,391.8289016954601,420.8637755494565,453.72449442865326,13102.62870002687,14116.05610075593,15174.062252156436,0.0,0.0,0.0,base,,,,
3500.0,374.1623843655922,401.13554211705923,433.6285276655108,380.64385061925276,411.4605801254511,442.9644565055147,384.8615856242366,413.5169730372727,445.7433236112818,12883.789730326831,13902.55088287592,14953.943065313995,0.0,0.0,0.0,base,,,,
3501.0,366.73418763270604,394.0246722716838,425.65901378635317,373.66893781730903,403.89140594005585,435.5185493589379,377.7276727821678,406.44823299720883,437.7834559935145,12675.592377337813,13676.143041193485,14739.839709804952,0.0,0.0,0.0,base,,,,
3502.0,359.6318316182122,386.7294252179563,417.7750272164121,366.64471832867713,396.61414240300655,428.1015900994651,370.41963964281604,398.6478685028851,430.3273959235288,12469.07958919704,13452.068134784698,14529.983567629753,0.0,0.0,0.0,base,,,,
3503.0,352.60627771541476,379.50063682347536,409.81396170724184,359.6546976863407,389.0188916679472,420.1719007834792,363.03390303654595,390.6317894458771,422.71550439521667,12259.391754931212,13229.035329163074,14319.50484484136,0.0,0.0,0.0,base,,,,
3504.0,345.5672164194286,371.8035017810762,401.67747847465796,352.8600635604933,381.38505231402814,412.39175424436104,356.01647363603115,382.845179066062,414.8368314304389,12047.24130833596,12998.97026476264,14082.254816174507,0.0,0.0,0.0,base,,,,
3505.0,338.26667243102565,364.1633579544723,393.39513879437,346.1221817038953,373.66715144366026,404.8249845265411,348.76766740698366,375.1166732031852,406.4790275581181,11823.873181524872,12751.528404951096,13829.123964151739,0.0,0.0,0.0,base,,,,
3506.0,330.740004690364,356.5146519392729,385.00038327164947,339.15940467305484,365.97947413660586,396.6341445084661,341.473990119528,367.2830118983984,397.9989932671189,11592.994446115195,12516.252759307623,13587.57031511068,0.0,0.0,0.0,base,,,,
3507.0,323.51214665090663,349.1408521682024,376.5231060899794,332.07068453067916,358.30100643076,388.42846979303283,334.34421793734657,359.5952049717307,389.6444748361595,11346.142569462954,12275.666883438826,13337.295624795554,0.0,0.0,0.0,base,,,,
3508.0,316.87940162969755,341.4247624017298,368.4783030280843,325.0347382280044,350.584675591439,380.3629843457602,327.18085397211837,351.92543335445225,381.62310477308927,11101.04413755238,12034.907381474972,13080.549261356888,0.0,0.0,0.0,base,,,,
3509.0,310.20922539485616,334.10682787559927,360.8889211931266,317.63726699342953,342.97972388379276,371.59257153356447,319.96381056103854,344.30662808567286,373.02253489904103,10866.754406961798,11779.228170573711,12803.819930514692,0.0,0.0,0.0,base,,,,
3510.0,303.0718976964243,326.9475450273603,353.31304841646926,310.49420675449073,335.42702438123524,363.0180466134101,312.7603876484558,336.6792457494885,364.7690834583714,10630.609655469656,11521.95334726572,12517.990009959041,0.0,0.0,0.0,base,,,,
3511.0,296.1259727017954,319.69143433123827,345.32880329778413,303.2796800426207,327.89761977270246,354.3764556793496,305.69800508618357,329.1542507596314,356.3238841811195,10395.958034962416,11265.70113569498,12261.331245024503,0.0,0.0,0.0,base,,,,
3512.0,289.42523153666406,312.59289850108325,337.1082945034839,296.4871742075309,320.49465327709913,345.82640167940406,298.8191505096853,321.67762459628284,347.92030174117536,10160.05440748185,11011.70974084735,11997.490758177639,0.0,0.0,0.0,base,,,,
3513.0,282.96111310087144,305.4254643023014,328.99675170825793,290.0343767108396,313.2707234695554,337.788068544399,291.91886118585245,314.21565275639296,339.84698098553343,9923.670770227909,10751.592363446951,11743.774166694284,0.0,0.0,0.0,base,,,,
3514.0,276.63532178597524,298.39520366862416,321.24563450617717,283.3689078249969,305.9690310899168,330.10421191351486,285.1179699932225,306.79678522236645,331.8551418930292,9692.586890482902,10501.010751605034,11477.566708248854,0.0,0.0,0.0,base,,,,
